deployment_fraction,mach,cda_m2
0.0,0.05,0.0089884
0.0,0.10,0.0085976
0.0,0.15,0.0084022
0.0,0.20,0.0084022
0.0,0.25,0.0084022
0.0,0.30,0.0084022
0.0,0.35,0.0084022
0.0,0.40,0.0084022
0.0,0.45,0.0084022
0.0,0.50,0.0085976
0.0,0.55,0.0085976
0.0,0.60,0.008793
0.0,0.65,0.0089884
0.0,0.70,0.0091838
0.1,0.05,0.00943484
0.1,0.10,0.00904404
0.1,0.15,0.008853104
0.1,0.20,0.008853104
0.1,0.25,0.008857569
0.1,0.30,0.008866498
0.1,0.35,0.008870962
0.1,0.40,0.008875426
0.1,0.45,0.008875426
0.1,0.50,0.009075291
0.1,0.55,0.009079755
0.1,0.60,0.009284084
0.1,0.65,0.009488413
0.1,0.70,0.009688277
0.2,0.05,0.00988128
0.2,0.10,0.00949048
0.2,0.15,0.009304009
0.2,0.20,0.009304009
0.2,0.25,0.009312938
0.2,0.30,0.009330795
0.2,0.35,0.009339724
0.2,0.40,0.009348653
0.2,0.45,0.009348653
0.2,0.50,0.009552982
0.2,0.55,0.00956191
0.2,0.60,0.009775168
0.2,0.65,0.009988426
0.2,0.70,0.010192754
0.3,0.05,0.0103277
0.3,0.10,0.0099369
0.3,0.15,0.009754893
0.3,0.20,0.009754893
0.3,0.25,0.009768286
0.3,0.30,0.009795072
0.3,0.35,0.009808465
0.3,0.40,0.009821858
0.3,0.45,0.009821858
0.3,0.50,0.010030651
0.3,0.55,0.010044044
0.3,0.60,0.01026623
0.3,0.65,0.010488416
0.3,0.70,0.010697209
0.4,0.05,0.0107741
0.4,0.10,0.0103833
0.4,0.15,0.010205757
0.4,0.20,0.010205757
0.4,0.25,0.010223614
0.4,0.30,0.010259328
0.4,0.35,0.010277185
0.4,0.40,0.010295042
0.4,0.45,0.010295042
0.4,0.50,0.010508299
0.4,0.55,0.010526156
0.4,0.60,0.01075727
0.4,0.65,0.010988384
0.4,0.70,0.011201641
0.5,0.05,0.0112206
0.5,0.10,0.0108298
0.5,0.15,0.010656722
0.5,0.20,0.010656722
0.5,0.25,0.010679044
0.5,0.30,0.010723688
0.5,0.35,0.01074601
0.5,0.40,0.010768332
0.5,0.45,0.010768332
0.5,0.50,0.010986054
0.5,0.55,0.011008376
0.5,0.60,0.01124842
0.5,0.65,0.011488464
0.5,0.70,0.011706186
0.6,0.05,0.011667
0.6,0.10,0.0112762
0.6,0.15,0.011107586
0.6,0.20,0.011107586
0.6,0.25,0.011134372
0.6,0.30,0.011187944
0.6,0.35,0.01121473
0.6,0.40,0.011241516
0.6,0.45,0.011241516
0.6,0.50,0.011463702
0.6,0.55,0.011490488
0.6,0.60,0.01173946
0.6,0.65,0.011988432
0.6,0.70,0.012210618
0.7,0.05,0.0121135
0.7,0.10,0.0117227
0.7,0.15,0.011558551
0.7,0.20,0.011558551
0.7,0.25,0.011589802
0.7,0.30,0.011652304
0.7,0.35,0.011683555
0.7,0.40,0.011714806
0.7,0.45,0.011714806
0.7,0.50,0.011941457
0.7,0.55,0.011972708
0.7,0.60,0.01223061
0.7,0.65,0.012488512
0.7,0.70,0.012715163
0.8,0.05,0.0125599
0.8,0.10,0.0121691
0.8,0.15,0.012009415
0.8,0.20,0.012009415
0.8,0.25,0.01204513
0.8,0.30,0.01211656
0.8,0.35,0.012152275
0.8,0.40,0.01218799
0.8,0.45,0.01218799
0.8,0.50,0.012419105
0.8,0.55,0.01245482
0.8,0.60,0.01272165
0.8,0.65,0.01298848
0.8,0.70,0.013219595
0.9,0.05,0.0130063
0.9,0.10,0.0126155
0.9,0.15,0.012460279
0.9,0.20,0.012460279
0.9,0.25,0.012500458
0.9,0.30,0.012580816
0.9,0.35,0.012620995
0.9,0.40,0.012661174
0.9,0.45,0.012661174
0.9,0.50,0.012896753
0.9,0.55,0.012936932
0.9,0.60,0.01321269
0.9,0.65,0.013488448
0.9,0.70,0.013724027
1.0,0.05,0.0134528
1.0,0.10,0.013062
1.0,0.15,0.012911244
1.0,0.20,0.012911244
1.0,0.25,0.012955888
1.0,0.30,0.013045176
1.0,0.35,0.01308982
1.0,0.40,0.013134464
1.0,0.45,0.013134464
1.0,0.50,0.013374508
1.0,0.55,0.013419152
1.0,0.60,0.01370384
1.0,0.65,0.013988528
1.0,0.70,0.014228572
